caseid,year,id,age,sex,educ,degree,rincome,gunlaw,gunsales
"2006 1  ",2006,1,50,2,13,1,12,2,9
"2006 2  ",2006,2,27,1,14,1,12,0,1
"2006 3  ",2006,3,67,2,9,0,0,0,0
"2006 4  ",2006,4,50,2,12,1,2,1,0
"2006 5  ",2006,5,20,1,14,1,0,1,0
"2006 6  ",2006,6,35,2,16,3,12,0,0
"2006 7  ",2006,7,29,2,12,1,13,1,0
"2006 8  ",2006,8,32,2,14,2,2,0,0
"2006 9  ",2006,9,23,2,16,3,12,1,0
"2006 10 ",2006,10,32,2,18,4,13,1,1
"2006 11 ",2006,11,81,2,9,0,0,1,0
"2006 12 ",2006,12,47,1,12,1,0,1,0
"2006 13 ",2006,13,26,1,16,3,0,1,0
"2006 14 ",2006,14,60,1,16,3,12,0,0
"2006 15 ",2006,15,34,2,13,1,0,0,0
"2006 16 ",2006,16,37,2,18,4,12,0,0
"2006 17 ",2006,17,68,1,6,0,0,1,1
"2006 18 ",2006,18,18,2,11,0,0,0,0
"2006 19 ",2006,19,25,2,13,1,4,1,0
"2006 20 ",2006,20,24,2,14,1,0,0,0
"2006 21 ",2006,21,38,2,16,3,13,0,0
"2006 22 ",2006,22,69,1,12,1,8,2,1
"2006 23 ",2006,23,41,2,11,0,9,0,0
"2006 24 ",2006,24,35,1,15,1,12,0,0
"2006 25 ",2006,25,26,2,14,1,0,0,0
"2006 26 ",2006,26,35,1,18,4,0,0,0
"2006 27 ",2006,27,52,2,5,0,0,1,3
"2006 28 ",2006,28,30,1,14,2,12,0,0
"2006 29 ",2006,29,62,2,12,0,0,1,2
"2006 30 ",2006,30,57,1,12,1,0,0,0
"2006 31 ",2006,31,56,2,14,1,13,8,1
"2006 32 ",2006,32,65,2,12,1,0,0,0
"2006 33 ",2006,33,47,2,12,1,11,0,0
"2006 34 ",2006,34,30,2,17,3,8,1,0
"2006 35 ",2006,35,31,2,12,1,13,0,0
"2006 36 ",2006,36,45,2,14,1,9,0,0
"2006 37 ",2006,37,38,2,15,1,10,0,0
"2006 38 ",2006,38,37,1,12,1,12,1,1
"2006 39 ",2006,39,43,2,18,4,13,0,0
"2006 40 ",2006,40,25,2,14,2,0,0,0
"2006 41 ",2006,41,57,2,14,2,13,0,1
"2006 42 ",2006,42,52,1,6,0,13,0,0
"2006 43 ",2006,43,45,1,15,3,12,0,2
"2006 44 ",2006,44,79,1,10,0,0,0,1
"2006 45 ",2006,45,30,2,16,3,12,0,0
"2006 46 ",2006,46,74,2,99,0,0,0,0
"2006 47 ",2006,47,63,1,14,2,13,0,1
"2006 48 ",2006,48,40,1,12,1,12,0,0
"2006 49 ",2006,49,20,1,11,0,6,0,0
"2006 50 ",2006,50,58,2,10,0,98,0,0
"2006 51 ",2006,51,41,2,12,1,13,0,0
"2006 52 ",2006,52,69,2,14,1,0,0,0
"2006 53 ",2006,53,31,2,13,1,10,1,0
"2006 54 ",2006,54,30,2,18,4,12,1,0
"2006 55 ",2006,55,36,2,18,3,12,0,1
"2006 56 ",2006,56,70,2,20,4,13,1,0
"2006 57 ",2006,57,36,1,18,4,13,1,0
"2006 58 ",2006,58,68,2,17,4,13,1,0
"2006 59 ",2006,59,29,1,16,2,12,1,1
"2006 60 ",2006,60,24,2,14,2,12,0,0
"2006 61 ",2006,61,52,1,13,1,10,0,1
"2006 62 ",2006,62,53,1,9,0,13,8,0
"2006 63 ",2006,63,38,1,0,0,98,0,0
"2006 64 ",2006,64,68,1,4,0,0,0,0
"2006 65 ",2006,65,59,2,12,1,9,0,1
"2006 66 ",2006,66,35,2,16,3,0,0,0
"2006 67 ",2006,67,39,1,12,1,12,1,0
"2006 68 ",2006,68,46,2,10,0,0,0,0
"2006 69 ",2006,69,70,2,12,1,0,0,8
"2006 70 ",2006,70,48,1,12,1,13,1,0
"2006 71 ",2006,71,54,1,16,3,13,0,0
"2006 72 ",2006,72,88,2,12,1,0,1,0
"2006 73 ",2006,73,99,1,12,1,99,1,3
"2006 74 ",2006,74,66,1,16,3,0,0,0
"2006 75 ",2006,75,62,1,16,3,12,0,0
"2006 76 ",2006,76,36,2,18,4,0,0,0
"2006 77 ",2006,77,71,1,16,3,98,0,0
"2006 78 ",2006,78,71,2,12,1,0,0,0
"2006 79 ",2006,79,37,1,16,3,0,0,0
"2006 80 ",2006,80,33,2,17,3,13,0,1
"2006 81 ",2006,81,42,1,16,3,12,1,5
"2006 82 ",2006,82,28,2,12,1,12,0,0
"2006 83 ",2006,83,55,2,9,0,0,0,3
"2006 84 ",2006,84,43,2,16,3,0,1,0
"2006 85 ",2006,85,74,1,12,1,0,0,0
"2006 86 ",2006,86,32,2,15,4,2,1,0
"2006 87 ",2006,87,49,2,16,3,0,0,1
"2006 88 ",2006,88,32,2,12,1,2,1,0
"2006 89 ",2006,89,48,1,17,3,0,1,4
"2006 90 ",2006,90,33,2,10,0,0,1,1
"2006 91 ",2006,91,75,2,10,0,0,1,2
"2006 92 ",2006,92,53,1,17,3,12,0,0
"2006 93 ",2006,93,44,1,10,0,12,0,0
"2006 94 ",2006,94,85,1,13,1,0,1,0
"2006 95 ",2006,95,58,2,16,1,0,1,0
"2006 96 ",2006,96,40,2,17,3,13,1,0
"2006 97 ",2006,97,37,1,19,4,13,1,1
"2006 98 ",2006,98,26,2,13,1,11,1,0
"2006 99 ",2006,99,45,1,16,3,13,0,0
"2006 100",2006,100,46,1,7,0,11,0,0
"2006 101",2006,101,23,2,6,0,4,1,1
"2006 102",2006,102,43,2,14,1,10,0,0
"2006 103",2006,103,32,2,3,0,9,0,0
"2006 104",2006,104,29,2,10,0,7,2,4
"2006 105",2006,105,20,1,14,1,8,0,0
"2006 106",2006,106,52,1,15,1,0,0,0
"2006 107",2006,107,75,2,17,4,0,1,1
"2006 108",2006,108,60,2,18,4,0,0,0
"2006 109",2006,109,38,2,15,1,12,0,0
"2006 110",2006,110,39,1,20,4,12,0,0
"2006 111",2006,111,39,2,18,4,12,1,1
"2006 112",2006,112,29,1,14,1,12,1,0
"2006 113",2006,113,31,1,17,4,12,0,0
"2006 114",2006,114,35,1,17,4,12,8,0
"2006 115",2006,115,20,2,12,0,3,0,0
"2006 116",2006,116,49,2,6,0,0,0,0
"2006 117",2006,117,26,2,18,4,0,0,0
"2006 118",2006,118,37,2,11,0,0,1,1
"2006 119",2006,119,66,2,16,3,98,0,0
"2006 120",2006,120,67,2,12,1,0,0,0
"2006 121",2006,121,67,2,2,0,0,0,0
"2006 122",2006,122,37,2,12,1,9,1,0
"2006 123",2006,123,30,2,16,3,12,1,1
"2006 124",2006,124,70,1,13,1,13,0,0
"2006 125",2006,125,77,1,12,1,0,1,0
"2006 126",2006,126,36,1,12,1,12,0,0
"2006 127",2006,127,75,2,13,1,0,0,0
"2006 128",2006,128,58,2,12,1,0,0,0
"2006 129",2006,129,42,1,16,3,0,0,0
"2006 130",2006,130,35,2,19,4,12,0,0
"2006 131",2006,131,40,1,13,1,12,1,1
"2006 132",2006,132,51,1,14,1,12,1,1
"2006 133",2006,133,54,1,16,4,12,1,0
"2006 134",2006,134,77,2,12,1,0,0,0
"2006 135",2006,135,44,1,16,3,0,0,0
"2006 136",2006,136,99,1,18,4,12,0,0
"2006 137",2006,137,57,1,12,1,12,1,0
"2006 138",2006,138,44,2,14,2,0,0,0
"2006 139",2006,139,51,1,16,3,12,0,0
"2006 140",2006,140,34,1,16,1,12,0,0
"2006 141",2006,141,28,1,16,3,12,1,0
"2006 142",2006,142,58,2,16,3,0,0,0
"2006 143",2006,143,35,1,18,4,12,1,0
"2006 144",2006,144,39,2,16,3,0,0,0
"2006 145",2006,145,83,2,14,1,0,1,8
"2006 146",2006,146,32,2,14,2,12,1,0
"2006 147",2006,147,29,2,17,3,12,0,0
"2006 148",2006,148,53,1,12,1,12,1,0
"2006 149",2006,149,31,2,16,1,9,1,1
"2006 150",2006,150,34,1,14,1,12,0,0
"2006 151",2006,151,40,2,11,0,4,0,0
"2006 152",2006,152,27,1,14,1,12,1,0
"2006 153",2006,153,35,1,19,4,12,0,0
"2006 154",2006,154,43,2,12,1,12,1,0
"2006 155",2006,155,50,2,12,1,12,1,0
"2006 156",2006,156,38,2,14,1,12,1,0
"2006 157",2006,157,54,2,16,3,12,0,0
"2006 158",2006,158,39,2,16,3,12,0,2
"2006 159",2006,159,32,2,12,1,12,0,0
"2006 160",2006,160,26,2,16,3,11,0,0
"2006 161",2006,161,23,1,14,2,9,0,0
"2006 162",2006,162,39,2,16,3,12,0,1
"2006 163",2006,163,38,2,19,4,12,0,0
"2006 164",2006,164,50,1,12,1,12,1,0
"2006 165",2006,165,56,2,12,1,13,0,1
"2006 166",2006,166,31,2,16,3,12,1,1
"2006 167",2006,167,60,2,18,4,13,1,1
"2006 168",2006,168,32,2,12,1,12,0,0
"2006 169",2006,169,68,1,16,3,0,1,0
"2006 170",2006,170,48,1,18,4,13,0,0
"2006 171",2006,171,99,2,14,1,11,0,0
"2006 172",2006,172,60,2,14,2,11,0,0
"2006 173",2006,173,58,2,14,2,12,1,1
"2006 174",2006,174,58,2,12,1,13,0,0
"2006 175",2006,175,25,2,16,3,12,0,0
"2006 176",2006,176,49,2,16,3,6,1,0
"2006 177",2006,177,22,2,14,1,0,1,1
"2006 178",2006,178,86,1,10,1,0,1,1
"2006 179",2006,179,51,2,14,2,13,0,0
"2006 180",2006,180,58,1,14,1,12,1,0
"2006 181",2006,181,89,1,16,3,0,0,5
"2006 182",2006,182,82,2,12,1,0,0,0
"2006 183",2006,183,34,1,16,3,12,1,1
"2006 184",2006,184,41,2,13,1,12,1,0
"2006 185",2006,185,63,2,16,3,12,0,0
"2006 186",2006,186,50,1,20,4,12,1,0
"2006 187",2006,187,43,2,16,3,0,0,0
"2006 188",2006,188,66,2,20,4,0,0,0
"2006 189",2006,189,24,1,16,3,12,1,1
"2006 190",2006,190,89,2,12,1,0,0,0
"2006 191",2006,191,31,2,16,4,12,0,0
"2006 192",2006,192,44,2,16,3,12,0,0
"2006 193",2006,193,52,2,12,1,0,1,0
"2006 194",2006,194,34,1,9,1,12,2,0
"2006 195",2006,195,64,1,12,1,0,2,1
"2006 196",2006,196,73,2,13,1,0,1,1
"2006 197",2006,197,39,1,18,3,12,0,0
"2006 198",2006,198,58,2,18,4,12,1,1
"2006 199",2006,199,41,2,20,4,0,0,1
"2006 200",2006,200,49,2,18,3,12,1,2
"2006 201",2006,201,40,2,13,1,0,0,2
"2006 202",2006,202,53,2,16,3,12,0,0
"2006 203",2006,203,58,1,16,3,0,8,1
