CASEID,ABANY,ABFIRM,ABIMP,ABINFO
"1982 1  ",2,3,4,4
"1982 2  ",2,3,2,4
"1982 3  ",1,4,2,1
"1982 4  ",1,4,1,3
"1982 5  ",2,8,8,8
"1982 6  ",1,4,2,2
"1982 7  ",1,4,3,2
"1982 8  ",2,4,3,3
"1982 9  ",2,4,4,1
"1982 10 ",1,4,3,1
"1982 11 ",1,4,2,1
"1982 12 ",2,4,2,1
"1982 13 ",2,3,2,3
"1982 14 ",1,4,3,2
"1982 15 ",2,4,3,2
"1982 16 ",2,4,3,2
"1982 17 ",1,4,4,1
"1982 18 ",1,4,2,1
"1982 19 ",1,4,4,1
"1982 20 ",9,9,9,9
"1982 21 ",2,3,2,2
"1982 22 ",2,4,2,4
"1982 23 ",2,4,2,3
"1982 24 ",1,4,3,2
"1982 25 ",2,4,4,2
"1982 26 ",8,2,4,4
"1982 27 ",1,4,1,1
"1982 28 ",2,4,2,1
"1982 29 ",2,3,2,2
"1982 30 ",2,2,3,4
"1982 31 ",2,3,2,3
"1982 32 ",2,2,3,3
"1982 33 ",1,3,2,3
"1982 34 ",2,4,2,2
"1982 35 ",2,4,3,3
"1982 36 ",2,2,3,3
"1982 37 ",2,4,3,4
"1982 38 ",1,4,2,3
"1982 39 ",2,4,4,4
"1982 40 ",2,4,1,1
"1982 41 ",1,4,3,3
"1982 42 ",2,4,2,2
"1982 43 ",8,3,4,4
"1982 44 ",2,2,4,4
"1982 45 ",1,4,2,1
"1982 46 ",1,4,2,1
"1982 47 ",2,4,2,2
"1982 48 ",1,3,2,1
"1982 49 ",2,3,8,8
"1982 50 ",1,4,2,3
"1982 51 ",1,4,2,2
"1982 52 ",1,4,2,3
"1982 53 ",2,2,3,2
"1982 54 ",1,2,3,4
"1982 55 ",2,4,8,4
"1982 56 ",1,4,2,3
"1982 57 ",2,1,9,4
"1982 58 ",1,9,4,4
"1982 59 ",1,4,3,1
"1982 60 ",1,4,2,3
"1982 61 ",1,3,3,3
"1982 62 ",1,4,2,2
"1982 63 ",1,3,3,4
"1982 64 ",1,4,2,2
"1982 65 ",2,4,1,3
"1982 66 ",1,4,1,2
"1982 67 ",1,4,1,3
"1982 68 ",2,4,1,1
"1982 69 ",1,4,3,3
"1982 70 ",1,4,2,3
"1982 71 ",2,3,2,2
"1982 72 ",2,2,4,3
"1982 73 ",1,4,1,2
"1982 74 ",1,2,2,4
"1982 75 ",1,4,3,1
"1982 76 ",2,4,3,2
"1982 77 ",1,4,2,2
"1982 78 ",1,4,2,3
"1982 79 ",1,4,2,1
"1982 80 ",1,3,4,1
"1982 81 ",1,4,4,3
"1982 82 ",1,4,1,1
"1982 83 ",2,4,2,4
"1982 84 ",1,4,2,1
"1982 85 ",1,3,3,2
"1982 86 ",2,4,2,4
"1982 87 ",1,4,3,2
"1982 88 ",1,3,3,1
"1982 89 ",1,9,3,1
"1982 90 ",1,3,3,1
"1982 91 ",1,1,3,3
"1982 92 ",1,4,1,2
"1982 93 ",1,2,1,4
"1982 94 ",2,4,3,3
"1982 95 ",1,4,3,1
"1982 96 ",1,4,3,4
"1982 97 ",2,4,2,4
"1982 98 ",2,2,3,3
"1982 99 ",1,3,4,3
"1982 100",2,3,3,3
"1982 101",2,4,4,3
"1982 102",2,4,2,3
"1982 103",2,4,3,3
"1982 104",1,2,3,3
"1982 105",1,3,2,3
"1982 106",2,3,1,3
"1982 107",2,3,4,4
"1982 108",1,4,3,3
"1982 109",2,3,3,4
"1982 110",2,4,4,3
"1982 111",1,2,2,1
"1982 112",1,4,2,3
"1982 113",2,3,2,2
"1982 114",2,4,2,1
"1982 115",1,3,2,3
"1982 116",2,3,2,3
"1982 117",2,4,2,2
"1982 118",1,4,4,4
"1982 119",1,3,3,2
"1982 120",1,4,1,1
"1982 121",1,4,2,1
"1982 122",1,4,4,1
"1982 123",1,4,2,1
"1982 124",1,4,2,1
"1982 125",2,3,3,3
"1982 126",1,4,2,3
"1982 127",2,2,2,3
"1982 128",1,4,2,3
"1982 129",1,4,2,3
"1982 130",1,3,3,4
"1982 131",2,3,2,3
"1982 132",2,4,2,1
"1982 133",1,3,2,3
"1982 134",1,3,3,3
"1982 135",1,4,2,1
"1982 136",1,4,2,3
"1982 137",2,3,2,3
"1982 138",1,4,2,2
"1982 139",1,4,4,1
"1982 140",2,4,9,4
"1982 141",1,4,3,3
"1982 142",1,3,2,3
"1982 143",2,2,2,2
"1982 144",1,3,2,3
"1982 145",2,4,2,3
"1982 146",1,4,4,3
"1982 147",2,3,3,1
"1982 148",2,4,3,3
"1982 149",1,3,2,3
"1982 150",2,3,3,3
"1982 151",1,4,2,3
"1982 152",2,3,2,3
"1982 153",2,1,3,2
"1982 154",2,3,4,4
"1982 155",2,4,1,3
"1982 156",8,4,2,2
"1982 157",2,2,1,3
"1982 158",1,4,2,3
"1982 159",2,4,3,3
"1982 160",2,3,4,3
"1982 161",2,4,1,4
"1982 162",1,4,2,3
"1982 163",2,3,3,2
"1982 164",1,4,4,1
"1982 165",2,4,1,1
"1982 166",1,3,2,3
"1982 167",2,3,2,1
"1982 168",2,4,4,3
"1982 169",2,4,3,4
"1982 170",1,4,3,1
"1982 171",2,8,4,8
"1982 172",2,2,2,3
"1982 173",2,4,2,1
"1982 174",1,3,4,3
"1982 175",2,4,1,4
"1982 176",2,4,3,4
"1982 177",1,4,1,2
"1982 178",2,4,1,2
"1982 179",2,4,2,2
"1982 180",2,4,2,3
"1982 181",1,4,3,1
"1982 182",2,4,2,3
"1982 183",2,3,3,3
"1982 184",2,4,1,1
"1982 185",2,4,3,2
"1982 186",2,3,2,2
"1982 187",2,4,1,1
"1982 188",2,8,3,3
"1982 189",1,4,4,1
"1982 190",1,8,3,3
"1982 191",1,2,3,4
"1982 192",2,2,2,4
"1982 193",2,4,2,3
"1982 194",2,4,2,3
"1982 195",2,4,2,1
"1982 196",1,4,2,2
"1982 197",1,2,3,4
"1982 198",8,3,3,2
"1982 199",2,4,1,1
"1982 200",2,4,1,2
"1982 201",1,4,2,3
"1982 202",2,4,1,2
"1982 203",2,4,4,3
"1982 204",1,4,2,2
"1982 205",8,2,4,4
"1982 206",8,8,4,8
"1982 207",1,4,3,1
"1982 208",1,3,3,3
"1982 209",2,3,2,2
"1982 210",1,4,2,2
"1982 211",1,4,3,2
"1982 212",2,4,2,3
"1982 213",1,4,2,2
"1982 214",1,2,4,4
"1982 215",1,2,3,2
"1982 216",1,4,4,4
"1982 217",1,4,2,3
"1982 218",2,3,4,1
"1982 219",1,4,2,2
"1982 220",1,3,3,3
"1982 221",2,4,4,1
"1982 222",2,9,9,9
"1982 223",2,2,2,1
"1982 224",2,4,1,3
"1982 225",2,3,3,4
"1982 226",2,3,3,1
"1982 227",2,3,2,3
"1982 228",2,4,2,1
"1982 229",1,4,4,4
"1982 230",2,4,2,3
"1982 231",2,4,2,3
"1982 232",2,4,4,4
"1982 233",2,4,2,2
"1982 234",1,4,2,4
"1982 235",2,4,1,2
"1982 236",2,2,1,1
"1982 237",2,4,3,4
"1982 238",1,3,2,2
"1982 239",2,4,4,1
"1982 240",1,3,3,3
"1982 241",1,4,4,3
"1982 242",1,3,2,3
"1982 243",2,2,3,3
"1982 244",2,4,1,1
"1982 245",1,3,3,2
"1982 246",1,4,2,1
"1982 247",1,2,3,2
"1982 248",2,4,2,3
"1982 249",2,2,4,4
"1982 250",2,4,2,3
"1982 251",1,4,3,1
"1982 252",8,3,3,2
"1982 253",2,2,4,4
"1982 254",2,4,2,2
"1982 255",2,3,2,4
"1982 256",1,4,2,2
"1982 257",1,4,2,3
"1982 258",2,9,9,9
"1982 259",1,4,3,2
"1982 260",1,3,2,2
"1982 261",2,4,2,4
"1982 262",2,4,1,3
"1982 263",1,4,3,3
"1982 264",1,3,2,3
"1982 265",1,4,2,3
"1982 266",1,4,2,3
"1982 267",2,3,3,1
"1982 268",2,4,3,4
"1982 269",2,4,3,4
"1982 270",1,4,3,3
"1982 271",1,3,2,2
"1982 272",1,4,2,4
"1982 273",2,4,4,1
"1982 274",1,4,3,1
"1982 275",2,4,3,1
"1982 276",1,4,3,1
"1982 277",1,2,3,3
